41,92,16,0.63,29,6
41,87,12,0.64,32,6
44,82,22,0.65,17,4
44,84,25,0.63,15,3
43,93,28,0.61,11,3
42,74,22,0.65,21,3
41,76,19,0.72,24,2
39,82,18,0.82,27,2
38,77,30,0.63,18,3
35,82,40,0.55,13,3
30,72,45,0.5,12,3
27,63,51,0.5,12,3
25,67,56,0.54,12,3
23,71,59,0.51,14,3
23,65,60,0.48,12,2
23,64,58,0.52,15,2
24,64,53,0.58,18,2
26,70,38,0.77,27,2
31,90,18,0.97,46,2
37,171,20,0.86,39,3
38,140,21,0.75,35,3
35,72,0,0,0,0
32,85,16,0.76,27,3
32,78,12,0.79,26,3
37,106,4,0.84,39,5
41,120,10,0.74,31,4
45,96,20,0.67,18,4
41,83,21,0.67,13,3
37,68,22,0.7,13,3
34,71,22,0.7,20,3
35,71,18,0.75,28,3
36,92,17,0.86,32,3
37,108,25,0.69,26,4
36,92,39,0.6,17,3
32,75,47,0.55,14,3
29,66,53,0.51,13,3
25,56,63,0.51,10,3
21,67,68,0.48,6,2
20,48,73,0.46,7,2
21,59,71,0.49,8,2
22,58,50,0.6,22,2
25,60,35,0.82,33,2
30,77,18,1.08,45,3
41,102,23,0.96,33,3
46,100,0,0,0,0
46,116,29,0.63,25,3
42,81,29,0.59,21,3
38,72,27,0.58,22,3
33,68,28,0.59,16,3
31,68,25,0.61,19,3
32,81,21,0.71,19,3
32,85,19,0.66,21,2
29,76,14,0.74,21,2
29,56,12,0.85,31,3
32,65,14,1.02,25,4
34,76,24,0.79,22,4
34,80,33,0.66,24,4
32,104,42,0.6,18,3
31,113,49,0.59,19,3
30,94,60,0.58,14,3
28,82,71,0.59,8,2
29,85,70,0.58,8,2
31,79,65,0.59,9,2
31,74,62,0.56,6,2
29,58,59,0.6,9,2
29,57,54,0.7,13,2
30,66,30,1.03,32,2
35,92,0,0,0,0
41,92,13,1.14,38,3
50,105,9,1.26,40,3
59,104,13,1.05,28,6
62,86,16,0.9,21,5
56,78,21,0.84,13,3
52,67,18,0.89,12,3
49,60,18,0.89,11,3
42,59,24,0.76,9,3
38,79,16,0.85,13,2
36,63,12,0.92,15,3
37,60,13,0.86,17,3
38,56,21,0.81,14,3
41,65,35,0.76,11,3
38,73,50,0.65,8,2
32,64,57,0.64,7,2
30,72,64,0.63,7,2
29,69,65,0.62,7,2
27,69,64,0.59,6,1
26,63,65,0.59,8,1
25,63,66,0.57,7,1
25,54,63,0.6,7,1
29,46,45,0.74,25,1
33,72,0,0,0,0
43,152,10,1.71,51,5
53,139,8,2.72,56,6
62,187,5,2.34,45,6
