24,51,52,0.05,5,2
24,46,43,0.05,9,2
30,48,35,0.04,8,3
25,42,28,0,4,0
15,33,23,0.01,7,0
6,30,21,0,8,1
15,30,20,0,8,1
8,33,15,0.04,15,0
18,39,16,0,16,4
17,32,23,0,5,0
13,31,26,0,8,1
18,35,37,0,6,1
15,37,36,0,5,1
4,29,35,0,7,2
8,29,35,0,8,2
13,29,36,0,2,0
11,27,32,0,3,0
9,28,23,0,11,3
8,33,28,0,1,1
5,24,21,0.03,7,0
3,29,20,0,7,0
4,29,19,0,5,0
6,30,14,0.02,11,0
10,33,0,0,0,0
8,32,17,0,8,2
4,26,17,0.13,7,1
7,30,19,0,4,0
8,27,15,0,6,2
18,37,16,0,6,1
13,31,10,0.06,12,0
11,24,5,0.15,19,3
11,30,3,0.54,25,3
18,50,14,0.09,13,3
18,37,13,0,15,1
15,34,23,0,9,1
10,31,30,0,6,1
7,26,0,0,0,0
7,32,0,0.03,14,3
12,37,45,0,10,0
19,37,42,0,9,0
18,39,38,0,8,0
19,38,31,0.04,11,0
20,42,30,0.01,9,0
15,39,27,0,13,0
16,40,28,0.04,9,0
15,35,16,0,19,2
19,34,17,0.05,18,2
17,34,24,0.08,8,0
18,36,0,0,0,0
4,24,21,0.12,9,0
5,21,21,0,8,0
5,20,25,0,4,0
5,19,21,0,7,0
8,25,7,0.1,26,1
18,31,8,0.21,25,1
21,43,2,0.8,35,3
29,61,5,0.42,37,4
30,62,18,0.38,34,3
36,65,27,0.34,34,2
40,73,35,0.4,40,2
39,73,45,0.21,25,1
38,68,70,0.19,18,1
38,65,75,0.07,15,0
33,61,77,0.04,19,0
36,60,80,0.07,15,0
43,67,67,0.18,26,0
41,65,71,0.27,17,1
47,68,62,0.4,22,0
44,74,50,0.36,24,0
51,84,52,0.21,17,0
56,77,36,0.27,33,0
67,80,33,0.35,26,0
50,73,34,0.33,25,1
48,65,0,0,0,0
34,55,44,0.09,6,0
33,53,31,0.05,13,0
40,57,22,0.14,20,0
45,63,12,0.22,30,0
54,74,1,0.84,56,2
68,106,1,1.16,52,6
71,116,8,0.61,49,8
60,96,30,0.2,23,3
38,61,36,0.12,27,4
36,67,62,0.14,22,3
38,69,60,0.06,18,2
35,58,68,0.09,12,1
35,57,69,0.09,27,1
43,68,82,0.12,17,0
46,74,76,0.13,25,0
53,79,84,0.14,15,0
50,78,66,0.2,31,4
52,77,71,0.3,19,0
52,78,64,0.22,16,0
54,80,52,0.36,19,0
56,81,45,0.38,27,0
60,83,40,0.3,28,4
65,88,42,0.24,14,0
40,64,44,0.28,15,1
43,66,0,0,0,0
43,61,30,0.09,13,0
37,61,21,0.17,17,0
48,66,16,0.35,27,0
48,68,1,0.95,50,0
52,84,2,1.05,46,1
58,93,16,0.58,32,1
43,81,34,0.16,14,2
46,72,44,0.28,27,3
47,81,58,0.34,28,2
41,86,63,0.29,27,1
40,75,79,0.25,19,0
38,75,80,0.22,16,0
40,73,78,0.22,18,0
40,72,67,0.26,21,0
35,75,48,0.45,35,1
44,79,35,0.63,45,1
48,81,22,0.49,49,1
53,92,2,0.74,68,2
79,135,0,0.73,75,5
80,134,1,0.87,74,4
95,139,11,0.9,56,2
91,141,50,0.4,20,1
65,88,43,0.38,19,1
69,81,38,0.34,9,0
67,86,0,0,0,0
62,82,14,0.61,23,1
88,109,1,1.31,54,4
140,169,1,1.24,52,3
134,169,2,1.3,51,3
118,155,7,0.9,44,1
97,134,28,0.6,36,1
89,117,44,0.29,25,1
54,95,58,0.29,18,1
37,72,62,0.25,17,1
24,57,69,0.23,15,0
25,53,66,0.2,16,0
26,54,66,0.21,15,0
28,54,57,0.25,18,0
27,57,44,0.39,31,0
28,58,31,0.63,42,1
30,69,11,0.57,49,1
28,66,1,0.56,56,2
34,79,4,0.7,63,3
55,100,8,0.5,56,2
49,88,56,0.35,20,1
45,79,86,0.39,11,0
64,92,71,0.34,15,2
70,92,70,0.36,14,0
72,95,63,0.39,13,0
53,86,0,0,0,0
65,80,40,0.38,16,1
62,85,23,0.52,32,0
63,91,5,1.18,61,1
63,100,25,0.7,38,1
53,88,49,0.25,13,1
42,71,55,0.1,18,1
52,78,63,0.26,19,2
47,71,73,0.24,15,2
43,64,82,0.26,9,2
46,72,84,0.22,17,1
53,82,78,0.28,24,1
49,86,79,0.17,19,1
38,75,81,0.2,11,0
46,72,65,0.43,18,1
54,89,37,0.56,37,2
59,99,38,0.54,36,1
64,110,56,0.29,20,0
47,80,50,0.15,12,0
35,66,43,0.3,13,1
34,59,47,0.25,11,0
29,57,43,0.29,13,0
31,56,37,0.2,14,0
35,56,32,0.19,23,0
40,68,39,0.22,16,0
31,55,0,0,0,0
40,57,31,0.43,25,1
37,57,31,0.44,25,1
39,58,36,0.15,19,2
31,50,39,0.1,15,0
29,52,42,0.2,20,1
33,57,36,0.3,21,2
36,70,43,0.31,31,4
44,80,68,0.09,14,2
39,63,65,0.09,14,0
38,55,65,0.1,14,0
38,60,61,0.09,20,1
36,58,51,0.2,21,0
33,53,52,0.23,11,0
31,53,39,0.25,16,0
28,58,38,0.2,13,0
28,54,32,0.19,16,0
27,56,28,0.28,19,1
35,62,33,0.23,15,0
30,54,28,0.23,12,0
30,54,21,0.21,15,1
36,53,24,0.22,11,0
36,54,28,0.19,4,0
24,46,9,0.44,21,0
34,60,0,0.69,37,0
43,71,0,0,0,0
48,85,1,1.17,40,2
52,97,2,0.78,38,0
51,86,12,0.52,37,1
48,83,30,0.27,30,1
39,77,43,0.3,26,1
38,65,63,0.26,23,1
39,72,65,0.23,20,0
34,61,63,0.2,21,1
36,62,57,0.17,21,1
30,59,53,0.27,31,1
34,67,38,0.38,44,1
31,71,14,0.69,64,1
37,82,12,0.74,63,2
44,86,5,0.79,62,1
42,86,3,0.85,63,1
50,88,1,1.02,64,3
49,97,1,1.04,62,4
50,94,1,0.72,57,2
50,88,1,0.68,52,2
48,89,0,0.49,47,1
49,85,0,0.49,45,1
54,95,0,0.47,42,1
55,90,1,0.62,40,3
56,102,1,0.8,42,2
62,114,0,0,0,0
74,130,5,0.72,37,2
63,111,20,0.41,30,1
45,87,34,0.34,25,1
42,80,44,0.28,21,1
25,64,54,0.23,18,0
21,51,56,0.23,18,0
24,56,56,0.22,19,0
33,61,54,0.26,21,0
40,68,49,0.3,25,0
36,68,34,0.4,36,1
34,65,16,0.58,50,1
35,70,6,0.83,57,1
38,81,5,0.67,51,0
38,84,7,0.62,44,1
45,84,9,0.6,46,1
47,89,10,0.58,43,1
42,86,7,0.64,42,1
48,87,24,0.48,26,1
29,61,30,0.41,17,0
19,46,26,0.41,19,0
18,45,17,0.46,30,1
20,45,15,0.56,34,1
18,49,12,0.65,39,1
17,54,13,0.69,34,2
19,54,0,0,0,0
23,55,19,0.63,30,4
23,56,27,0.6,26,4
21,54,31,0.65,28,2
17,53,45,0.59,25,2
22,52,46,0.58,35,1
21,49,56,0.51,27,0
22,50,63,0.51,24,0
25,55,52,0.58,32,1
32,68,50,0.65,37,4
32,76,42,0.73,38,4
31,80,26,0.75,41,3
33,83,15,0.78,45,6
37,89,6,0.82,53,5
39,82,2,0.79,53,6
43,82,3,0.88,56,6
39,83,1,0.87,54,10
39,83,1,0.9,52,7
39,77,1,0.93,50,5
43,88,1,1,49,4
44,91,1,0.9,48,4
47,82,4,0.82,49,4
50,81,4,0.92,51,3
48,86,4,1.18,53,3
53,95,4,1.01,53,4
48,91,0,0,0,0
30,67,42,0.48,20,1
23,57,51,0.43,18,2
24,59,61,0.41,18,1
25,56,65,0.41,17,0
31,59,72,0.41,15,0
43,70,78,0.43,17,0
51,77,80,0.5,15,1
54,86,61,0.59,29,1
45,82,46,0.64,35,1
43,81,48,0.69,38,3
48,101,35,0.74,47,8
49,103,31,0.67,43,6
47,100,13,0.76,58,4
52,128,3,0.92,72,6
54,107,1,1.1,68,4
54,99,1,1.14,64,4
52,97,1,1.08,60,4
57,96,1,1.25,58,3
55,93,1,1.36,59,2
58,96,1,1.36,61,2
60,107,1,1.43,57,3
64,107,2,1.42,53,4
72,128,5,1.25,66,10
73,122,25,0.92,54,8
59,106,0,0,0,0
61,90,75,0.53,20,2
46,80,79,0.44,15,1
