33,53,47,0.28,7,0
33,58,44,0.4,6,1
39,52,38,0.33,5,0
33,49,18,0.24,5,2
23,38,7,0.66,9,6
54,67,10,0.93,16,7
49,74,1,0.96,26,8
48,73,4,0.98,29,6
43,89,13,0,0,0
53,95,0,0.52,19,6
35,74,18,0.37,16,3
28,62,13,0.37,10,5
20,44,22,0.55,9,7
20,39,24,0.57,8,7
19,41,25,0.58,7,8
21,40,43,0.16,8,6
16,39,33,0.18,8,3
20,42,26,0.31,8,3
16,37,12,0.3,14,2
17,40,6,0.47,12,5
15,35,10,0.6,9,6
11,29,8,0.52,9,7
14,34,8,0.31,8,7
14,30,12,0.14,8,6
12,24,29,0.11,6,1
11,27,16,0.16,5,1
11,28,15,0.14,5,2
14,28,5,0.13,5,2
11,25,1,0.35,6,5
11,26,4,0.55,9,6
17,33,1,1.52,23,7
38,65,2,0,0,0
30,68,0,0.53,19,5
31,74,3,0.4,20,2
25,66,18,0.34,17,2
29,57,17,0.46,19,4
33,57,26,0.69,18,7
33,53,27,0.7,18,7
39,62,36,0.68,16,7
35,67,65,0.62,15,6
39,67,43,0.46,12,4
29,63,30,0.37,13,2
29,58,22,0.38,15,2
30,50,10,0.55,13,6
17,46,13,0.71,12,7
22,44,10,0.77,15,7
20,41,14,0.69,12,7
20,36,20,0.35,11,6
12,35,18,0.14,7,0
16,35,17,0.16,6,0
16,28,10,0.15,6,0
17,36,11,0.2,7,0
17,40,1,0.47,8,3
26,42,3,0.68,9,5
21,42,0,0,0,0
37,64,0,1.1,18,6
39,83,0,1.09,21,2
46,97,8,0.68,26,2
38,75,33,0.43,28,1
41,72,31,0.57,26,3
38,74,41,0.75,15,5
44,68,51,0.78,15,5
43,70,57,0.78,12,5
52,76,79,0.71,18,4
54,88,67,0.66,21,2
54,94,65,0.65,22,1
66,108,60,0.71,23,0
85,126,26,0.78,26,4
71,128,26,1.06,29,6
63,108,22,0.97,34,6
55,87,39,0.9,25,6
50,78,43,0.53,14,4
47,75,38,0.66,15,0
53,79,32,0.55,12,0
43,70,28,0.45,10,2
43,61,32,0.49,9,3
43,71,13,0.71,12,5
59,88,7,0,0,0
63,98,0,1.16,25,8
64,101,3,1.58,35,6
86,142,5,1.26,48,3
79,144,20,0.83,43,3
71,122,31,0.81,41,3
72,121,31,0.96,43,5
75,127,49,0.88,27,8
62,103,58,0.9,22,7
63,98,56,0.87,39,8
62,99,49,0.68,44,6
52,87,65,0.64,71,4
64,100,55,0.68,68,3
71,116,37,0.7,77,2
78,124,39,0.82,36,6
61,105,26,1.06,32,7
64,94,35,0.9,22,8
57,85,32,0.86,17,8
58,87,36,0.96,17,7
74,100,35,0.72,16,2
63,86,31,0.61,15,2
68,90,37,0.32,10,2
43,58,17,0.26,8,3
44,60,10,0,0,0
