72,109,31,0.8,11,1
70,98,31,0.68,9,1
54,86,29,0.63,9,1
53,77,35,0.53,5,1
43,64,40,0.43,4,1
41,53,37,0.48,6,1
32,57,30,0.52,11,1
34,58,23,0.65,18,1
41,70,32,0.56,13,1
37,72,42,0.45,10,1
30,55,48,0.44,9,1
34,63,54,0.44,6,1
37,61,60,0.45,8,1
37,62,66,0.46,8,1
37,68,0,0,0,0
35,71,0,0,0,0
39,73,0,0,0,0
44,79,66,0.6,14,1
42,81,56,0.62,17,1
50,93,0,0,0,0
56,102,41,0.7,15,1
53,94,0,0,0,0
53,89,0,0,0,0
59,99,42,0.72,12,2
74,111,38,0.75,13,2
82,117,32,0.72,15,2
85,118,26,0.71,20,3
66,116,26,0.75,15,2
71,110,27,0.81,13,1
72,109,0,0,0,0
96,132,20,0.91,15,1
84,131,0,0,0,0
64,113,0,0,0,0
59,102,43,0.75,16,1
63,100,61,0.75,13,1
64,102,64,0.6,11,1
48,84,74,0.55,9,1
43,81,88,0.52,6,1
49,79,91,0.57,9,1
47,78,98,0.59,9,1
52,87,95,0.7,17,1
53,100,86,0.84,25,1
63,103,54,0.87,33,1
54,114,35,0.97,40,1
58,113,25,1.07,39,1
67,122,37,0.97,23,1
71,114,27,1.01,23,1
65,115,29,0.93,20,1
67,108,34,0.9,16,1
75,110,32,0.87,14,1
78,110,34,0.84,12,2
79,115,20,0.93,17,1
84,124,0,0,0,0
80,119,26,0.8,11,1
72,104,20,0.85,15,1
66,95,17,0.91,20,2
66,105,28,0.78,17,2
54,99,42,0.62,12,1
51,86,52,0.52,10,1
44,74,58,0.53,12,1
42,75,70,0.53,9,1
41,78,78,0.54,10,1
39,71,85,0.51,7,1
43,73,85,0.57,10,1
44,80,84,0.6,13,1
48,89,68,0.72,22,1
48,91,52,0.82,28,1
50,122,60,0.8,17,1
65,122,56,0.91,19,1
72,123,48,0.93,16,1
77,115,28,1.08,27,1
80,128,23,1.11,28,1
81,132,23,1.1,24,1
85,128,44,0.99,15,2
89,133,40,1,11,1
90,130,0,0,0,0
86,126,31,1.04,12,1
99,140,33,1.04,12,1
101,135,24,1.01,16,2
90,129,21,1.04,18,1
82,132,30,0.86,13,1
71,113,41,0.7,10,1
60,110,52,0.68,11,1
52,106,65,0.7,12,1
60,103,82,0.69,9,1
60,100,89,0.69,8,1
63,107,93,0.72,9,1
62,108,92,0.7,11,1
60,104,88,0.77,14,1
58,108,76,0.83,18,1
62,111,39,1.12,35,1
72,136,50,1.1,26,1
76,134,46,0.99,22,1
73,121,46,0.92,17,1
71,112,46,0.94,17,1
76,114,38,0.95,18,1
78,115,37,0.94,16,1
80,113,12,1.09,33,1
78,120,0,0,0,0
74,118,6,1.08,29,1
76,127,12,1.09,28,2
81,123,9,1.2,26,2
88,134,14,1.15,26,2
103,156,22,1.38,27,2
123,184,36,1.18,20,2
110,158,60,0.99,16,2
99,150,84,0.89,13,2
83,134,103,0.82,11,2
73,120,116,0.79,10,2
73,129,116,0.74,8,2
67,117,109,0.71,10,1
63,106,110,0.7,11,1
61,105,101,0.73,14,1
63,110,86,0.82,19,1
60,106,66,0.95,31,1
64,122,63,0.94,22,2
70,132,68,0.87,17,2
72,129,62,0.86,15,2
83,138,58,0.88,14,2
80,135,50,0.87,20,2
78,125,48,0.84,16,1
79,112,0,0,0,0
81,119,48,0.84,16,3
