83,109,17,1.19,21,1
87,110,19,1.07,15,1
87,101,25,0.96,11,1
85,93,0,0,0,0
81,82,15,0.95,9,1
74,77,7,1.09,14,1
78,81,3,1.2,16,1
81,86,5,1.37,22,1
84,87,13,1.23,19,1
84,86,25,0.97,11,1
71,75,31,0.75,8,1
57,69,35,0.63,6,1
40,59,35,0.6,7,1
31,47,36,0.61,8,1
26,44,37,0.64,10,1
23,45,35,0.72,12,1
26,49,31,0.81,16,1
27,50,30,0.81,16,1
25,41,24,0.79,14,1
19,35,20,0.68,11,1
16,36,15,0.7,12,1
20,40,13,0.73,11,1
26,37,11,0.7,10,1
28,39,8,0.74,11,1
28,49,6,0.73,10,1
28,63,5,0.69,10,1
28,58,5,0.66,9,1
28,48,4,0.7,8,1
30,47,0,0,0,0
36,44,1,0.86,9,1
37,48,1,1.02,10,1
44,56,2,1.38,12,1
48,60,7,0.96,13,1
49,59,17,0.84,13,2
45,61,29,0.71,9,2
36,59,35,0.67,7,2
31,52,38,0.61,6,1
27,46,39,0.62,9,1
25,41,49,0.68,9,2
27,45,56,0.73,8,2
29,53,50,0.95,20,2
35,66,46,0.9,18,2
38,62,30,1.11,27,2
47,63,22,1.2,28,2
64,84,22,1.03,18,2
65,89,15,1.04,21,1
59,73,13,0.98,19,1
57,72,6,1.08,22,1
57,67,5,1.11,20,1
57,67,12,0.84,10,1
58,69,13,0.87,10,1
61,70,8,0.92,12,1
61,69,10,0.89,8,1
60,65,0,0,0,0
58,67,7,0.92,11,1
58,68,3,1.25,15,1
60,72,12,1.07,14,1
62,75,20,1.02,15,2
59,70,36,0.77,8,2
57,68,42,0.68,6,2
53,68,48,0.69,7,2
47,63,53,0.69,6,2
46,63,59,0.74,9,1
49,62,63,0.76,11,1
53,64,62,0.89,17,2
53,71,57,0.96,22,2
52,75,43,1.12,27,2
54,84,23,1.39,41,2
59,97,14,1.51,44,2
69,95,10,1.48,42,2
70,104,15,1.32,29,1
69,109,14,1.18,25,1
72,110,23,1.04,14,1
79,108,21,1.03,13,1
79,96,24,0.89,10,1
78,89,20,0.85,8,1
71,83,20,0.84,8,1
65,76,16,0.92,11,1
71,77,0,0,0,0
81,85,11,1.16,17,2
77,88,17,1.09,19,3
71,83,34,0.94,14,2
78,85,52,0.92,10,3
80,90,58,0.83,8,2
69,88,57,0.8,8,2
61,76,55,0.83,8,2
56,71,58,0.81,8,2
51,72,57,0.86,11,2
