63,82,13,0.92,9,1
63,82,13,0.92,9,1
63,89,5,0.92,16,0
66,81,6,1,17,0
52,85,13,0.71,14,0
45,66,23,0.52,7,0
0,0,0,0,0,0
33,59,28,0.51,4,0
32,47,34,0.54,5,0
34,52,34,0.44,5,0
24,40,37,0.41,6,0
25,40,39,0.42,7,0
20,35,38,0.44,9,0
17,35,29,0.56,15,0
17,34,0,0,0,0
26,52,9,0.87,30,0
35,58,9,0.87,30,0
42,82,7,0.88,31,1
0,0,0,0,0,0
26,74,9,0.68,24,0
34,66,9,0.59,22,0
26,66,10,0.52,19,0
35,58,11,0.6,20,0
36,62,12,0.63,20,0
35,61,14,0.74,19,0
55,88,15,0.61,16,1
44,80,8,0.67,22,1
43,81,8,0.78,25,1
49,77,23,0.62,18,1
43,78,34,0.54,14,1
36,65,45,0.54,8,0
41,66,50,0.5,7,0
32,60,54,0.41,4,0
33,59,60,0.43,9,2
25,47,60,0.55,35,20
32,58,81,0.52,26,8
36,57,67,0.36,13,2
39,51,0,0,0,0
27,50,68,0.61,18,1
35,62,63,0.69,17,1
41,62,52,0.83,19,1
46,74,29,0.92,31,2
41,79,24,0.82,30,1
37,83,21,0.8,28,0
73,123,14,1.2,36,2
45,85,16,0.75,24,2
52,87,12,0.8,23,1
55,97,15,0.73,22,1
47,93,15,0.75,21,0
52,93,7,0.9,27,1
50,94,1,1.28,34,2
59,99,2,1.68,39,2
73,123,14,1.2,36,2
78,141,33,0.82,27,4
66,127,58,0.66,17,3
61,113,77,0.69,20,2
56,105,94,0.59,17,2
52,92,107,0.52,14,4
46,97,97,0.52,21,5
48,96,102,0.51,14,3
45,91,0,0,0,0
52,91,113,0.68,17,2
54,91,102,0.82,14,1
67,113,86,0.89,14,1
64,109,63,0.95,22,1
83,104,56,1.03,24,0
0,0,0,0,0,0
76,114,34,0.86,20,3
76,100,28,0.84,21,2
78,111,23,0.88,24,1
85,120,14,1.02,19,0
89,129,7,1.06,18,0
94,129,6,1.13,19,0
101,133,4,1.17,22,0
100,133,2,1.2,30,1
112,143,3,1.51,38,1
99,144,22,1.12,37,1
94,143,56,0.7,21,3
68,123,82,0.68,15,2
69,114,101,0.7,14,2
63,106,108,0.73,15,5
66,117,99,0.78,29,8
67,117,112,0.67,15,3
56,121,0,0,0,0
55,107,95,0.59,11,1
50,98,91,0.68,14,1
49,91,83,0.83,21,1
55,91,68,0.93,23,1
56,98,56,0.96,23,1
67,101,44,1.09,30,0
59,103,36,1.17,32,1
65,110,29,1.14,29,1
70,109,30,0.98,24,1
74,109,27,0.82,18,1
76,115,16,0.84,22,1
74,115,19,0.8,19,0
64,107,14,0.82,19,0
65,100,10,0.93,21,1
0,0,0,0,0,0
0,0,0,0,0,0
68,104,3,1.18,34,2
92,164,31,0.95,26,2
87,158,61,0.74,16,2
44,82,30,0.69,15,0
44,82,30,0.69,15,0
44,82,30,0.69,15,0
66,133,0,0,0,0
63,128,71,0.6,23,14
50,109,48,0.59,28,12
53,100,36,0.7,19,0
44,82,30,0.69,15,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
48,86,25,0.47,4,0
34,64,21,0.48,7,1
33,58,18,0.51,8,1
24,54,19,0.53,4,0
27,54,14,0.62,6,0
20,50,11,0.64,6,0
26,54,11,0.65,6,0
19,48,11,0.71,9,0
26,47,9,0.75,10,0
32,54,11,0.65,9,0
24,55,22,0.61,6,0
25,47,31,0.52,4,0
18,48,39,0.54,5,0
26,47,44,0.57,5,0
32,54,0,0,0,0
29,53,33,0.5,8,3
30,54,26,0.47,15,10
24,58,27,0.48,18,2
25,57,44,0.54,12,0
28,55,34,0.54,8,0
29,59,27,0.59,5,0
26,46,18,0.68,6,0
21,38,14,0.71,8,0
25,42,10,0.65,9,0
27,39,13,0.61,8,0
20,34,15,0.53,6,0
23,37,12,0.53,5,0
22,29,11,0.52,6,0
28,35,13,0.54,6,0
0,0,0,0,0,0
0,0,0,0,0,0
22,38,17,0.54,3,0
17,39,13,0.58,7,0
13,37,18,0.53,5,0
15,32,22,0.49,5,0
12,30,30,0.47,4,0
20,22,37,0.5,2,0
15,24,0,0,0,0
13,30,52,0.56,6,3
13,27,52,0.62,25,14
20,35,55,0.56,11,1
19,30,59,0.67,7,1
19,38,51,0.69,9,1
23,36,51,0.82,9,1
26,41,26,0.75,5,0
26,41,26,0.75,5,0
28,40,33,0.83,8,0
23,39,28,0.82,7,0
23,39,28,0.82,7,0
