58,78,7,0.45,33,0
40,53,10,0.31,30,0
33,42,9,0.37,33,0
30,45,5,0.52,40,0
34,65,3,0.57,47,0
48,82,2,0.73,52,0
63,88,1,0.73,45,0
56,70,3,0.64,36,0
49,58,15,0.53,30,0
36,61,18,0.43,27,0
32,60,20,0.52,30,0
41,77,25,0.65,45,0
49,87,19,0.76,71,0
61,116,37,0.53,55,0
62,86,24,0.67,70,0
58,91,22,0.71,79,0
54,95,34,0.58,62,0
52,79,0,0,0,0
54,90,26,0.73,58,0
62,82,3,1.28,84,0
79,145,3,1.1,74,0
78,120,3,0.8,71,0
69,101,2,0.78,59,0
49,80,2,0.69,50,0
43,78,2,0.55,46,0
36,63,2,0.5,42,0
36,62,1,0.54,40,0
41,63,1,0.63,40,0
49,67,2,0.64,41,0
51,78,2,0.69,42,0
51,87,1,1.05,45,0
66,99,1,1.15,43,0
63,95,3,0.95,39,0
55,82,8,0.6,41,0
46,78,10,0.87,46,0
43,75,11,0.66,53,0
55,78,17,0.62,59,0
57,78,15,0.62,71,0
53,76,13,0.68,66,0
45,79,11,0.73,76,0
51,85,0,0,0,0
54,95,9,0.66,71,0
55,87,9,0.73,55,0
47,74,8,0.72,54,0
46,73,9,0.63,46,0
42,64,14,0.47,38,0
40,58,16,0.49,31,0
33,52,18,0.46,26,0
31,45,12,0.48,27,0
33,49,15,0.37,26,0
30,49,9,0.45,32,0
29,47,5,0.52,35,0
36,56,2,0.53,38,0
51,63,2,0.47,37,0
45,55,7,0.56,25,0
41,45,4,0.68,30,0
38,63,14,0.59,24,0
32,51,14,0.5,34,0
32,53,14,0.53,32,0
29,40,12,0.49,30,0
22,34,14,0.43,31,0
31,43,14,0.42,33,0
27,46,13,0.51,33,0
18,41,0,0,0,0
11,43,9,0.52,38,0
18,48,8,0.47,43,0
24,46,6,0.71,41,0
33,52,4,0.77,44,0
42,56,4,0.69,36,0
32,52,5,0.52,37,0
27,53,5,0.52,31,0
22,47,8,0.4,23,0
19,35,7,0.35,24,0
13,41,9,0.26,20,0
13,33,7,0.34,23,0
14,38,3,0.4,27,0
26,45,2,0.49,32,0
35,52,2,0.67,39,0
42,68,1,0.98,41,0
49,72,2,1.2,43,0
47,89,4,0.83,40,0
40,80,4,0.68,44,0
50,78,6,0.63,40,0
51,72,9,0.53,35,0
40,60,8,0.55,41,0
39,59,9,0.51,42,0
41,55,0,0,0,0
35,59,6,0.67,47,0
38,67,5,0.72,52,0
35,76,4,0.71,55,0
39,77,3,0.87,52,0
48,73,3,0.87,50,0
49,81,2,0.87,48,0
44,83,3,0.69,41,0
50,65,6,0.49,31,0
44,48,8,0.45,22,0
36,40,11,0.33,18,0
32,38,8,0.3,24,0
36,41,8,0.36,22,0
29,36,5,0.43,25,0
27,48,3,0.46,31,0
28,52,2,0.58,36,0
28,56,2,0.82,39,0
34,60,2,1.1,38,0
46,76,3,0.81,36,0
41,78,5,0.57,38,0
33,60,6,0.65,41,0
40,64,7,0.59,39,0
45,67,8,0.54,40,0
43,65,0,0,0,0
35,53,8,0.57,39,0
45,55,8,0.59,42,0
35,64,8,0.6,43,0
34,77,5,0.61,46,0
39,67,4,0.76,51,0
39,70,4,0.71,36,0
33,60,6,0.58,31,0
30,47,8,0.45,31,0
32,43,10,0.46,29,0
28,37,8,0.44,28,0
24,32,10,0.39,22,0
23,31,10,0.29,22,0
21,28,9,0.33,22,0
16,31,8,0.37,23,0
21,42,4,0.47,31,0
26,56,4,0.51,34,0
36,46,2,0.7,38,0
46,62,3,0.93,38,0
39,68,5,0.67,36,0
33,59,4,0.71,40,0
37,74,4,0.65,40,0
46,70,4,0.68,41,0
45,74,0,0,0,0
44,57,6,0.47,40,0
41,54,6,0.57,39,0
34,53,6,0.59,37,0
35,48,4,0.62,41,0
31,62,3,0.66,42,0
30,61,2,0.71,39,0
41,59,2,0.74,39,0
48,65,3,0.63,36,0
37,59,3,0.52,38,0
24,50,4,0.49,30,0
19,41,5,0.46,27,0
23,41,7,0.37,26,0
18,31,8,0.3,25,0
26,33,6,0.41,26,0
32,41,3,0.53,33,0
42,54,3,0.54,35,0
33,67,3,0.53,36,0
37,62,2,0.73,39,0
40,72,2,0.99,43,0
34,81,4,0.73,40,0
31,77,4,0.61,44,0
35,76,5,0.67,44,0
39,75,0,0,0,0
43,68,5,0.62,47,0
46,69,6,0.54,49,0
46,67,6,0.65,46,0
43,61,6,0.69,51,0
47,71,44,0.67,47,0
41,65,4,0.69,54,0
40,77,3,0.89,48,0
44,72,3,0.82,45,0
42,71,3,0.81,47,0
37,76,2,0.68,43,0
41,74,4,0.54,36,0
35,53,4,0.53,35,0
40,50,5,0.48,29,0
40,45,6,0.32,29,0
32,41,6,0.4,28,0
27,36,3,0.49,33,0
43,51,0,0,0,0
48,64,0,0,0,0
48,68,1,0.61,38,0
38,44,2,0.97,41,0
44,78,3,0.83,42,0
46,78,3,0.73,50,0
49,90,0,0,0,0
47,89,0,0,0,0
46,77,0,0,0,0
45,70,9,0.5,38,0
49,53,6,0.63,46,0
40,77,5,0.72,44,0
34,82,5,0.65,47,0
36,72,3,0.89,52,0
38,110,2,0.93,50,0
43,86,1,1.02,44,0
47,100,1,0.86,38,0
37,84,2,0.56,34,0
32,51,1,0.6,27,0
28,51,3,0.48,23,0
25,43,3,0.38,21,0
22,34,3,0.33,21,0
27,35,3,0.37,18,0
29,34,1,0.54,23,0
26,45,1,0.49,26,0
25,50,1,0.56,32,0
29,64,1,0.58,28,0
38,53,1,0.88,33,0
50,66,3,0.64,31,0
39,63,0,0,0,0
40,79,2,0.76,38,0
40,82,3,0.67,35,0
38,64,4,0.63,34,0
41,58,4,0.54,33,0
35,49,4,0.68,33,0
41,58,4,0.68,33,0
50,51,3,0.67,33,0
37,55,2,0.83,35,0
31,59,2,0.93,35,0
31,58,2,1.01,32,0
35,70,2,0.8,33,0
33,53,4,0.53,27,0
31,49,4,0.53,24,0
34,38,4,0.5,21,0
32,38,7,0.41,17,0
19,23,5,0.33,22,0
23,31,3,0.44,24,0
22,41,6,0.39,20,0
23,43,4,0.41,26,0
22,46,2,0.45,31,0
25,44,3,0.49,28,0
27,44,3,0.64,28,0
31,48,0,0,0,0
30,63,10,0.5,25,0
29,42,7,0.66,32,0
28,56,9,0.68,27,0
28,52,10,0.51,26,0
28,45,11,0.51,28,0
27,40,12,0.57,25,0
28,52,10,0.59,29,0
0,60,7,0.63,29,0
0,54,7,0.61,25,0
0,55,4,0.71,30,0
0,56,5,0.68,28,0
0,48,5,0.65,30,0
29,53,6,0.52,29,0
30,47,6,0.55,26,0
29,48,6,0.48,24,0
28,35,5,0.45,24,0
28,42,7,0.34,24,0
28,34,7,0.41,25,0
27,33,3,0.49,34,0
28,53,2,0.58,39,0
33,67,2,0.61,43,0
38,70,2,0.92,44,0
35,65,0,0,0,0
40,86,2,0.97,46,0
52,97,4,0.69,45,0
51,88,4,0.81,43,0
44,86,5,0.75,46,0
45,82,5,0.7,48,0
48,73,7,0.62,43,0
45,68,7,0.7,44,0
39,60,6,0.7,42,0
34,68,7,0.67,42,0
32,59,5,0.75,46,0
31,66,5,0.74,44,0
36,62,4,0.8,43,0
38,59,3,0.7,40,0
41,67,2,0.54,42,0
44,61,5,0.52,31,0
41,45,5,0.49,33,0
38,46,7,0.41,29,0
31,57,4,0.37,34,0
27,43,1,0.43,36,0
27,45,1,0.55,37,0
41,50,1,0.66,41,0
51,66,1,0.66,44,0
44,72,0,0,0,0
38,47,1,1.03,43,0
40,76,3,0.84,46,0
38,66,12,0.43,27,0
27,48,21,0.42,18,0
35,40,9,0.67,51,0
34,75,8,0.73,67,0
41,85,15,0.59,63,0
43,74,11,0.72,75,0
43,75,12,0.83,86,0
45,87,10,0.81,85,0
51,91,7,0.91,89,0
54,89,4,1.02,84,0
58,102,3,1.02,69,0
57,99,2,1.05,64,0
57,96,2,0.85,54,0
54,75,2,0.66,42,0
43,52,1,0.68,43,0
45,59,1,0.61,39,0
39,59,1,0.5,35,0
32,55,0,0.59,36,0
34,55,1,0.65,32,0
43,63,1,0.91,37,0
51,108,0,0,0,0
56,98,1,0.88,37,0
63,93,2,0.94,34,0
66,110,3,1.08,41,0
64,122,13,0.93,40,0
65,109,37,0.85,29,0
63,107,43,0.95,46,0
66,111,35,1.26,91,0
76,148,42,1.12,103,0
74,141,28,1.16,122,0
78,143,22,1.07,115,0
85,140,17,1.12,130,0
100,156,13,1.21,121,0
98,149,9,1.22,105,0
94,134,7,1.04,89,0
75,102,10,0.89,77,0
63,101,10,0.68,73,0
59,94,13,0.67,57,0
57,73,11,0.51,36,0
50,60,14,0.48,30,0
31,47,12,0.39,31,0
32,48,11,0.41,28,0
38,41,5,0.55,34,0
37,58,0,0,0,0
31,70,2,0.55,44,0
40,67,2,0.87,48,0
41,71,1,1.16,49,0
47,88,3,0.9,44,0
48,0,3,0.71,46,0
44,85,5,0.76,45,0
47,89,5,0.77,48,0
53,82,6,0.66,51,0
55,73,7,0.62,44,0
56,61,8,0.71,45,0
53,69,7,0.7,47,0
34,68,6,0.69,43,0
43,72,5,0.77,43,0
45,71,4,0.75,43,0
38,64,5,0.75,41,0
44,64,5,0.67,40,0
39,63,4,0.51,36,0
24,50,4,0.53,33,0
27,50,6,0.49,28,0
15,48,7,0.41,27,0
8,41,5,0.41,31,0
16,41,6,0.41,28,0
36,43,0,0,0,0
27,57,1,0.6,41,0
31,71,2,0.63,44,0
38,81,1,1,47,0
32,93,1,1.21,48,0
49,102,3,0.94,43,0
51,91,3,0.83,47,0
50,93,5,0.76,45,0
44,84,6,0.72,45,0
43,84,6,0.66,53,0
40,80,8,0.62,49,0
41,74,7,0.71,50,0
37,73,6,0.76,50,0
43,87,5,0.76,49,0
48,80,4,0.84,49,0
47,86,6,0.8,44,0
40,68,4,0.79,45,0
37,71,5,0.73,45,0
33,69,4,0.63,41,0
35,63,5,0.59,39,0
31,48,5,0.55,35,0
24,44,7,0.43,29,0
14,53,6,0.39,33,0
30,34,0,0,0,0
25,40,6,0.49,34,0
24,53,3,0.59,39,0
29,66,2,0.59,44,0
42,71,3,0.71,42,0
50,58,3,0.87,42,0
43,72,4,0.77,41,0
26,94,4,0.69,47,0
36,89,6,0.69,45,0
37,72,6,0.67,45,0
38,70,7,0.67,43,0
45,71,7,0.64,47,0
39,61,7,0.7,46,0
43,67,8,0.68,49,0
32,63,7,0.69,46,0
26,72,6,0.74,45,0
35,78,5,0.72,40,0
33,69,6,0.66,32,0
25,55,7,0.57,29,0
18,49,8,0.41,29,0
19,45,10,0.5,24,0
24,40,11,0.44,21,0
